client_id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,avg_monthly_inflow,avg_monthly_outflow,monthly_inflow_std,monthly_outflow_std,max_monthly_outflow,avg_monthly_transactions,avg_active_days_per_month,avg_inflow_amount,median_inflow_amount,max_inflow_amount,min_inflow_amount,std_inflow_amount,avg_outflow_amount,median_outflow_amount,max_outflow_amount,min_outflow_amount,std_outflow_amount,account_age_days,active_month_count,avg_transactions_per_month,night_transaction_ratio,weekend_transaction_ratio,spending_growth_rate,income_growth_rate,avg_monthly_net_cashflow,spend_income_ratio,savings_ratio,favorite_mcc,unique_mcc_count,unique_merchant_count,favorite_merchant,merchant_diversity_score,total_transaction_count_x,recency_days,frequency,monetary,fraud_transaction_count,fraud_ratio,avg_fraud_amount_x,bad_cvv_count,bad_card_number_count,bad_expiration_count,bad_pin_count,bad_zipcode_count,insufficient_balance_count,technical_glitch_count,total_error_count,total_transaction_count_y,error_ratio,auth_error_count,auth_error_ratio,insufficient_balance_ratio,technical_glitch_ratio,avg_fraud_amount_y,avg_transactions_per_day,max_transactions_per_day,max_transactions_per_hour,travel_score,dining_score,digital_score,luxury_score,days_since_last_transaction,essential_spend_ratio,customer_value_score,avg_total_errors,max_total_errors,total_error_transactions,avg_spike_ratio,max_spike_ratio,sudden_high_value_count,sudden_high_value_ratio
1649,64,63,1956,2,Male,8146 Third Avenue,29.79,-95.82,$0,399,$323,729,3,693.6593220338983,7.279661016949152,358.0903940663773,56.78778693683399,515.0,19.79661016949153,14.652542372881356,35.08435490784398,13.24,491.47,0.03,48.45205963895128,-286.3333333333333,-291.0,-224.0,-344.0,60.13595707505896,3956.3333333333335,118.0,19.79661016949153,0.2016267123287671,0.2833904109589041,0.0,1.0160624755819083,686.3796610169492,0.0104794692679499,0.9880809761643924,"Lighting, Fixtures, Electrical Supplies",50.0,107.0,54850.0,0.0458047945205479,2336.0,2.0,2336.0,82710.8,41.0,0.0175513698630137,112.56804878048784,3.0,4.0,0.0,8.0,0.0,1.0,5.0,21.0,2336.0,0.0089858793324775,15.0,0.0064184852374839,0.0004278990158322,0.0021394950791613,87.4460975609756,1.35106998264893,13.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,193212428.8,0.0089897260273972,1.0,21.0,0.9725327701924116,13.499319433535415,51.0,0.0218321917808219
1223,53,67,1966,6,Male,822 Ocean Street,41.8,-87.92,$92938,189490,$448929,717,3,5623.479545454546,536.8636363636364,3171.3860283771032,462.007966892197,1480.0,34.54545454545455,17.40909090909091,178.00942446043166,109.79,1721.94,0.4,224.41284505354963,-181.7076923076923,-92.0,-50.0,-484.0,149.46338630632536,3002.0,22.0,34.54545454545455,0.1421052631578947,0.2855263157894737,1.9018099215944892,1.5574270938650157,5086.61590909091,0.0954512558939796,0.9043709498777868,Non-Precious Metal Services,62.0,146.0,68671.0,0.1921052631578947,760.0,0.0,760.0,135527.55,9.0,0.0118421052631578,77.04111111111109,1.0,2.0,0.0,2.0,0.0,3.0,1.0,9.0,760.0,0.0118265440210249,5.0,0.0065703022339027,0.0039421813403416,0.0013140604467805,77.0411111111111,1.9843342036553524,7.0,4.0,0.0979512360311547,0.0,0.0,0.0,0.0,0.0,103000938.0,0.0118421052631578,1.0,9.0,0.9944235551963478,9.602303365201005,19.0,0.025
955,33,67,1987,2,Male,6785 Valley Stream Boulevard,40.28,-80.6,$16648,33944,$53353,798,4,1521.8775555555558,149.84444444444443,462.83896602753134,167.18252893109965,680.0,44.37777777777778,23.666666666666668,35.35595766649458,14.81,703.04,0.99,62.67216503661185,-116.25862068965516,-82.5,-54.0,-386.0,80.82416703567996,576.75,45.0,44.37777777777778,0.072108162243365,0.2744116174261392,1.6775045387027565,1.0054095565809025,1372.033111111111,0.0983955958230536,0.9009477525660852,Miscellaneous Food Stores,61.0,142.0,61195.0,0.0711066599899849,1997.0,0.0,1997.0,75227.49,17.0,0.0085127691537305,119.77764705882352,2.0,2.0,1.0,6.0,0.0,13.0,2.0,26.0,1997.0,0.013013013013013,10.0,0.005005005005005,0.0065065065065065,0.001001001001001,77.07176470588236,1.8751173708920188,11.0,6.0,0.0946026097271648,0.0,0.0,0.0,0.0,0.0,150229297.53,0.0130195292939409,1.0,26.0,0.9741403277638996,18.180383968867904,84.0,0.0420630946419629
1851,48,72,1972,1,Male,73 Essex Lane,35.83,-78.83,$37121,75682,$37163,727,5,4828.931186440678,426.6186440677966,1072.5231203980286,380.5094407780479,1566.0,52.08474576271186,24.02542372881356,98.3964565705405,72.51,1581.62,0.72,96.56684763569298,-141.8056338028169,-84.0,-50.0,-498.0,123.8429567406734,3566.6,118.0,52.08474576271186,0.0597136348844777,0.2845753335502766,1.0434183649232815,0.8003759812636303,4402.312542372882,0.0883280998423881,0.9114648578703828,Service Stations,86.0,330.0,30928.0,0.0536934591604295,6146.0,0.0,6146.0,620154.88,42.0,0.0068337129840546,145.2992857142857,3.0,5.0,8.0,25.0,1.0,64.0,14.0,120.0,6146.0,0.0195217179111761,33.0,0.0053684724255734,0.0104115828859606,0.0022775337563038,145.2992857142857,2.167901234567901,12.0,7.0,0.0962417067259942,0.0,0.0,0.0,0.0,0.0,3811471892.48,0.0195248942401561,2.0,119.0,0.9901868252204916,15.520713494766284,31.0,0.0050439310120403
410,54,60,1966,2,Female,72990 Second Drive,40.62,-96.63,$23029,46956,$94340,610,2,1918.554210526316,297.4561403508772,814.7098897634564,322.85888503976906,1998.0,39.80701754385965,21.350877192982452,51.43818908748824,13.76,803.07,0.32,78.9778038302438,-118.56643356643356,-81.0,-52.0,-493.0,112.14506195859906,7228.5,57.0,39.80701754385965,0.0471573380343763,0.2921992066989863,0.0,0.0,1621.0980701754386,0.1549610522691717,0.8445179934412769,Service Stations,61.0,153.0,22204.0,0.0674305861613045,2269.0,1857.0,2269.0,126312.59,15.0,0.00661084178052,116.36933333333332,1.0,5.0,1.0,5.0,1.0,19.0,7.0,39.0,2269.0,0.0171806167400881,11.0,0.0048458149779735,0.0083700440528634,0.0030837004405286,116.36933333333332,1.8644207066557108,10.0,6.0,0.1832979476291578,0.0,0.0,0.0,1857.0,0.0,286603266.71,0.0171881886293521,1.0,39.0,0.982353616874702,14.171280896433151,59.0,0.0260026443367122
201,61,65,1958,5,Male,206 Pine Lane,41.52,-88.12,$17567,35823,$96691,732,3,1695.6351694915256,253.33898305084745,565.6938451137182,272.0543943958048,1189.0,32.398305084745765,18.89830508474576,55.11982093663912,37.925,727.47,0.61,62.06799157913274,-154.89119170984455,-86.0,-50.0,-497.0,128.992464149758,5701.333333333333,118.0,32.398305084745765,0.1959194349986921,0.2976719853518179,1.227331086502969,0.9897718396794056,1442.2961864406782,0.1493184790733603,0.8500921190222223,Miscellaneous Food Stores,80.0,221.0,96246.0,0.0578080041851948,3823.0,0.0,3823.0,229978.95,24.0,0.0062777923097044,108.60791666666668,4.0,4.0,6.0,5.0,1.0,50.0,9.0,79.0,3823.0,0.0206589958158995,13.0,0.0033995815899581,0.0130753138075313,0.0023535564853556,108.60791666666668,1.7143497757847534,7.0,6.0,0.0458605117912694,0.0,0.0,0.0,0.0,0.0,879209525.85,0.0206643996861103,2.0,77.0,0.983648553829427,11.89518654570674,88.0,0.0230185718022495
403,33,72,1986,7,Male,699 Third Avenue,32.15,-94.79,$17898,36496,$119670,759,1,2179.5948305084744,254.28813559322035,847.5162468349006,273.61402415995985,1401.0,33.88135593220339,19.347457627118644,67.69997104501185,35.77,1654.74,0.04,117.66021360773682,-157.09947643979058,-90.0,-51.0,-499.0,129.9236032595116,5173.0,118.0,33.88135593220339,0.0157578789394697,0.2871435717858929,0.0892926469446385,0.6996925685197809,1925.306694915254,0.116614114660597,0.8829272948731645,Service Stations,82.0,230.0,26810.0,0.057528764382191,3998.0,0.0,3998.0,287198.19,25.0,0.0062531265632816,159.63000000000002,1.0,3.0,2.0,10.0,0.0,61.0,14.0,91.0,3998.0,0.0227556889222305,14.0,0.0035008752188047,0.0152538134533633,0.0035008752188047,95.55,1.7512045554095488,12.0,6.0,0.0833805445396074,0.0,0.0,0.0,0.0,0.0,1148218363.62,0.0227613806903451,1.0,91.0,0.9862704247607084,22.718877331465084,84.0,0.0210105052526263
1571,58,66,1961,6,Female,385 Jefferson Avenue,36.29,-86.6,$25166,51316,$0,759,6,3930.485677966102,533.8559322033898,989.6589088826177,328.5225479889588,1701.0,54.63559322033898,23.406779661016948,79.254495898838,59.57,1410.67,0.15,86.01100495304333,-105.87394957983192,-79.0,-50.0,-498.0,89.5550499981202,3839.5,118.0,54.63559322033898,0.1023731968357375,0.2833876221498371,1.5134320491492763,1.05379900233971,3396.629745762712,0.1357898707848206,0.8639557724447594,Service Stations,89.0,303.0,26810.0,0.0469986040018613,6447.0,0.0,6447.0,526792.31,39.0,0.0060493252675663,128.30205128205128,1.0,5.0,1.0,12.0,3.0,85.0,11.0,118.0,6447.0,0.0183002481389578,18.0,0.0027915632754342,0.013182382133995,0.0017059553349875,56.25076923076922,2.334178131788559,12.0,6.0,0.1065623214172328,0.0,0.0,0.0,0.0,0.0,3396230022.57,0.0183030867069955,1.0,118.0,0.9879097435633544,17.05536204748296,81.0,0.0125639832480223
1267,81,65,1938,10,Female,9574 Ocean Drive,47.83,-122.32,$28248,31912,$2182,630,4,3527.781610169491,335.364406779661,830.3378586161366,323.5725698403124,1340.0,46.3728813559322,23.161016949152543,79.15539646320593,65.6,1640.76,1.76,77.10605961859622,-185.7887323943662,-99.0,-50.0,-494.0,136.9515734022353,4451.0,118.0,46.3728813559322,0.0694444444444444,0.2816154970760234,0.4940492900832844,0.98527674507887,3192.4172033898303,0.0950368834991613,0.9046797325710658,Travel Agencies,87.0,354.0,27092.0,0.0646929824561403,5472.0,0.0,5472.0,455851.23,33.0,0.0060307017543859,204.93060606060607,3.0,5.0,4.0,22.0,0.0,55.0,8.0,97.0,5472.0,0.0177233692673122,30.0,0.0054814544125708,0.0100493330897131,0.0014617211766855,111.71848484848483,2.0021953896816687,12.0,6.0,0.1659170162227725,0.0,0.0,0.0,0.0,0.0,2494417930.56,0.0177266081871345,2.0,96.0,0.9881384685527326,19.46192633741856,48.0,0.0087719298245614
155,86,69,1933,11,Female,235 Fourth Street,31.31,-89.3,$14383,9678,$812,688,6,1980.7654237288136,453.635593220339,515.3961817194764,260.8176054979404,1548.0,71.16101694915254,27.110169491525426,29.9270576184379,12.495,524.28,0.04,42.82704135201679,-91.190800681431,-76.0,-50.0,-473.0,70.307426218286,3139.5,118.0,71.16101694915254,0.0734786233178516,0.2841491008693581,0.8898404765992078,0.9044691639291468,1527.1298305084747,0.2289047875135472,0.7705906118974898,Service Stations,74.0,240.0,22204.0,0.0285816362986781,8397.0,0.0,8397.0,287259.32,44.0,0.0052399666547576,92.92045454545456,3.0,2.0,2.0,23.0,0.0,94.0,23.0,147.0,8397.0,0.0175041676589664,28.0,0.0033341271731364,0.0111931412241009,0.0027387473207906,80.375,2.6248827758674587,13.0,6.0,0.0460863067438819,0.0,0.0,0.0,0.0,0.0,2412116510.04,0.0175062522329403,1.0,147.0,0.9715987806382764,14.89019128696454,111.0,0.0132190067881386
